ano_criacao_pedido;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;codigo_orgao_entidade_compra;nome_orgao_entidade_compra;numero_processo_formatado;data_criacao_pedido;data_licitacao;numero_contrato;indicador_termo_de_contrato;situacao_processo;situacao_compra_item_processo;criterio_julgamento;objeto_processo;unnamed_15;nome_empresarial_nome_fornecedor;cnpj_cpf_fornecedor_formatado;numero_parecer_juridico;data_parecer_juridico;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;valor_total_referencia_item_processo;valor_total_homologado;valor_total_atualizado
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;3040;EMPRESA DE ASSIST. TECNICA E EXTENSAO RURAL DE MG;3041002 000002/2022;2022-01-11;;0;;Concluído;Fracassado;Por lote;ALIENAÇÃO DE IMÓVEL EM SÃO ROMÃO - MG;;INEXISTENTE;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=544192;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;3040;EMPRESA DE ASSIST. TECNICA E EXTENSAO RURAL DE MG;3041002 000015/2022;2022-03-15;;0;;Concluído;Deserto;Por lote;ALIENAÇÃO DE LOJAS NO CENTRO DE BELO HORIZONTE - MG;;INEXISTENTE;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=547675;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;3040;EMPRESA DE ASSIST. TECNICA E EXTENSAO RURAL DE MG;3041002 000099/2022;2022-12-27;;0;;Concluído;Deserto;Por lote;ALIENAÇÃO DE IMÓVEIS EM RIACHO DOS MACHADOS - MG;;INEXISTENTE;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=569775;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000007/2022;2022-03-25;;0;;Concluído;Revogado;Por lote;ALIENAÇÃO DE LOTE ÚNICO DE 680 (SEISCENTOS E OITENTA) COTAS, CORRESPONDENTES À_x000D_ PARTICIPAÇÃO TOTAL DETIDA PELA CODEMGE NO FIP BIOTEC E CIÊNCIAS DA VIDA - FUNDO DE_x000D_ INVESTIMENTO EM PARTICIPAÇÕES;;INEXISTENTE;;35,0;2022-03-25;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=544788;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000022/2022;2022-02-10;;0;;Concluído;Fracassado;Por lote;Contratação de empresa especializada para realização de recomposição de flora, incluindo fornecimento de mão-de-obra, insumos e equipamentos necessários.;;INEXISTENTE;;162,0;2022-07-12;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=548292;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000036/2022;2022-04-20;;0;;Concluído;Deserto;Por lote;"ALIENAÇÃO DO IMÓVEL: Terreno I com 267.800 m², localizado em Carreira Cumprida (Pedreira),matricula 19.163, Santa Luzia/MG,""ad corpus""_x000D_ .";;INEXISTENTE;;173,0;2022-06-24;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=551167;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000037/2022;2022-04-25;;0;;Concluído;Deserto;Por lote;ALIENAÇÃO DOS IMÓVEIS: TERRENO I COM 30.794,39 M2 E TERRENO II COM 27.649,61M2, LOCALIZADOS NO BAIRRO BOM SUCESSO EM BELO HORIZONTE/MG, DE PROPRIEDADE DA CODEMGE.;;INEXISTENTE;;155,0;2022-06-24;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=551244;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000040/2022;2022-03-07;;0;;Concluído;Deserto;Por lote;Alienação do empreendimento LABFABITR;;INEXISTENTE;;120,0;2022-06-21;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=552146;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000048/2022;2022-05-18;;0;;Concluído;Deserto;Por lote;ALIENAÇÃO DO BEM IMÓVEL TERRENO 1 LOCALIZADO EM CURVELO, DE PROPRIEDADE DA CODEMGE.;;INEXISTENTE;;267,0;2022-08-18;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=554577;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000057/2022;2022-06-23;;0;;Concluído;Revogado;Por lote;ALIENAÇÃO DO IMÓVEL: Terreno 1 - 1.018.940,00 m², localizado na Fazenda Águas Quentes Rocinha em Itabirito/MG.;;INEXISTENTE;;315,0;2022-10-02;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=556173;;0,0;0,0;0,0
