ano_criacao_pedido;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;codigo_orgao_entidade_compra;nome_orgao_entidade_compra;numero_processo_formatado;data_criacao_pedido;data_licitacao;numero_contrato;indicador_termo_de_contrato;situacao_processo;situacao_compra_item_processo;criterio_julgamento;objeto_processo;unnamed_15;nome_empresarial_nome_fornecedor;cnpj_cpf_fornecedor_formatado;numero_parecer_juridico;data_parecer_juridico;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;valor_total_referencia_item_processo;valor_total_homologado;valor_total_atualizado
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000059/2022;2022-06-23;;0;;Concluído;Revogado;Por lote;Alienação de um imóvel de propriedade da CODEMGE, constituído por um terreno com 1200m² situado na Rua dos Aimorés, nº 1697, Belo Horizonte/MG.;;INEXISTENTE;;319,0;2022-10-13;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=556280;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000060/2022;2022-06-21;;0;;Concluído;Deserto;Por lote;ALIENAÇÃO DE UMA GLEBA DE TERRENO LOCALIZADA AO LADO DA EDIFICAÇÃO DO CASSINO DE LAMBARI, PRÓXIMO DA ORLA DO LAGO GUANABARA EM LAMBARI, MG COM ÁREA DE 4.466,00 M²;;INEXISTENTE;;275,0;2022-08-31;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=556473;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000062/2022;2022-07-13;;0;;Concluído;Revogado;Por lote;ALIENAÇÃO DO IMÓVEL: LOTE 01 DA QUADRA 80 DO BAIRRO JAQUELINE, COM SUAS BENFEITORIAS E EDIFICAÇÕES, SITUADO NA RUA ALDEMIRO FERNANDES TORRES, Nº 1680 EM BELO HORIZONTE/MG;;INEXISTENTE;;295,0;2022-09-27;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=556623;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000077/2022;2022-08-22;;0;;Concluído;Revogado;Por lote;"Alienação do imóvel Terreno I com 267.800 m², localizado em Carreira Cumprida (Pedreira), matricula 19.163, Santa Luzia/MG, ""ad corpus"".";;INEXISTENTE;;302,0;2022-09-26;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=560171;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000081/2022;2022-08-26;;0;;Concluído;Deserto;Por lote;Alienação de 01 (um) direito minerário (extração de argila caulinítica) em fase de Concessão de Lavra.;;INEXISTENTE;;338,0;2023-07-18;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=561714;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000091/2022;2022-12-29;;0;;Concluído;Fracassado;Por lote;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA A OBRA DE RECAPTAÇÃO, READEQUAÇÃO E ESTABILIZAÇÃO GEOTÉCNICA DAS FONTES MAGNESIANA E RADIOATIVA;;INEXISTENTE;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=564777;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5030;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;5030001 000102/2022;2022-12-15;;0;;Concluído;Revogado;Por lote;Alienação do empreendimento LabFabITR, Laboratório Fábrica de Ligas e Ímãs de Terras Raras, planta industrial localizada em Lagoa Santa/Minas Gerais, em fase de instalação e comissionamento.;;INEXISTENTE;;7,0;2023-09-01;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=569389;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201019 000001/2022;2022-10-13;;0;;Concluído;Fracassado;Por lote;Prestação de serviços especializados de planejamento e execução de marketing digital com foco mercadológico.;;INEXISTENTE;;2232,0;2022-10-24;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=563906;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201023 000002/2022;2022-02-10;;0;;Concluído;Deserto;Por lote;Alienação de bens imóveis, conforme especificações e condições contidas no Edital e em seus anexos.;;INEXISTENTE;;2107,0;2022-02-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=545774;;60000,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201023 000002/2022;2022-02-11;;0;;Concluído;Deserto;Por lote;Alienação de bens imóveis, conforme especificações e condições contidas no Edital e em seus anexos.;;INEXISTENTE;;2107,0;2022-02-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=545774;;2330100,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201023 000002/2022;2022-02-14;;0;;Concluído;Deserto;Por lote;Alienação de bens imóveis, conforme especificações e condições contidas no Edital e em seus anexos.;;INEXISTENTE;;2107,0;2022-02-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=545774;;33848682,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201023 000003/2022;2022-08-23;;0;;Concluído;Deserto;Por item;Alienação de bens imóveis não de uso do BDMG;;INEXISTENTE;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=559735;;17765200,0;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201023 000005/2022;2022-11-28;;0;;Concluído;Deserto;Por lote;Alienação de bens imóveis, conforme especificações e condições contidas no Edital e em seus anexos.;;INEXISTENTE;;2355,0;2022-12-01;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=567708;;4227127,71;0,0;0,0
2022;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201023 000005/2022;2022-12-01;;0;;Concluído;Deserto;Por lote;Alienação de bens imóveis, conforme especificações e condições contidas no Edital e em seus anexos.;;INEXISTENTE;;2355,0;2022-12-01;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=567708;;24574753,56;0,0;0,0
2022;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;2010;INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;2012015 000012/2024;2022-12-15;;0;;Concluído;Deserto;Por item;aquisição de materiais médico-hospitalares do tipo materiais para nefrologia pediátrica para o abastecimento do Almoxarifado do Hospital Governador Israel Pinheiro-HGIP/IPSEMG,;;INEXISTENTE;;277,0;2024-06-24;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=597181;;2700,0;0,0;0,0
2022;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;2010;INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;2012015 000012/2024;2022-12-15;;0;;Concluído;Fracassado;Por item;aquisição de materiais médico-hospitalares do tipo materiais para nefrologia pediátrica para o abastecimento do Almoxarifado do Hospital Governador Israel Pinheiro-HGIP/IPSEMG,;;INEXISTENTE;;277,0;2024-06-24;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=597181;;1320,0;0,0;0,0
2022;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;2010;INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;2012015 000012/2024;2022-12-15;;9433837;SIM;Concluído;Com Fornecedor Vencedor;Por item;aquisição de materiais médico-hospitalares do tipo materiais para nefrologia pediátrica para o abastecimento do Almoxarifado do Hospital Governador Israel Pinheiro-HGIP/IPSEMG,;;FRESENIUS MEDICAL CARE LTDA;01.440.590/0001-36;277,0;2024-06-24;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=597181;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=188956;8450,8;7500,0;5625,0
2022;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;2010;INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;2012015 000034/2024;2022-11-10;;9433697;SIM;Concluído;Com Fornecedor Vencedor;Por item;MATERIAIS MÉDICO-HOSPITALARES do tipo BOLSA PARA OSTOMIA E CURATIVO,  sob a forma de ENTREGA PARCELADA, pelo período de 12 (DOZE) MESES;;QUALITY COMMERCE DISTRIBUIDORA HOSPITALAR LTDA;65.141.046/0001-76;273,0;2024-05-15;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=598263;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=188852;19980,0;15600,0;15600,0
2022;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;2010;INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;2012015 000034/2024;2022-11-10;;9433698;SIM;Concluído;Com Fornecedor Vencedor;Por item;MATERIAIS MÉDICO-HOSPITALARES do tipo BOLSA PARA OSTOMIA E CURATIVO,  sob a forma de ENTREGA PARCELADA, pelo período de 12 (DOZE) MESES;;ESSITY SOLUCOES MEDICAS DO BRASIL   COMERCIO E DISTRIBUICAO LTDA.;54.858.014/0009-27;273,0;2024-05-15;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=598263;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=188853;51552,0;17208,0;21510,0
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Carta Convite;Carta Convite - Até R$ 176.000,00;1260;SECRETARIA DE ESTADO DE EDUCACAO;1261024 000001/2023;2022-02-18;2023-04-27;9386257;SIM;Concluído;Com Fornecedor Vencedor;Por preço global;Estudo, análise e elaboração de projeto de engenharia e/ou arquitetura. Consultar Termo de Referência com o detalhamento das 2 planilhas de serviços que  contém todos os projetos,objeto deste processo;;IATAROLA CONSTRUCOES LTDA - EPP;20.704.777/0001-44;164,0;2023-04-10;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=571140;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=181001;47639,28;33826,64;33826,64
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Carta Convite;Carta Convite - Até R$ 176.000,00;2200;INST. EST. DO PATRIMONIO HIST. E ARTISTICO DE MG;2201002 000014/2022;2022-06-24;2022-11-09;9389060;SIM;Concluído;Com Fornecedor Vencedor;Por preço global;Serviço especializado para a elaboração das peças técnicas para a regularização Fundiária de territórios de comunidades  Detentoras de Patrimônio Imaterial.;;LEGALIZA BRASIL GESTAO TERRITORIAL GEOTECNOLOGICA LTDA;34.372.346/0001-32;73,0;2022-10-25;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=555092;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=181453;166275,0;159790,0;159790,0
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;1220;SECRETARIA DE DESENVOLVIMENTO ECONOMICO;1221103 000001/2022;2022-03-28;2022-11-17;9389523;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Contratação de empresa para a prestação de serviços especializados destinados à elaboração do Plano Metropolitano de Habitação de Interesse Social da Região Metropolitana de Belo Horizonte (PMHIS);;LATUS CONSULTORIA, PESQUISA E ASSESSORIA DE PROJETOS LTDA;08.019.808/0001-22;22,0;2022-07-04;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=555287;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=181627;1492600,0;970190,0;97019,0
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;1301017 000001/2022;2022-01-05;2022-04-28;9389097;SIM;Concluído;Com Fornecedor Vencedor;Por preço global;contratação de parceria público-privada (PPP),_x000D_ na modalidade CONCESSÃO, para a elaboração de projetos, construção, operação e_x000D_ manutenção do RODOANEL DA REGIÃO METROPOLITANA DE BELO HORIZONTE;;RODOANEL BH S.A.;49.514.793/0001-56;5935,0;2022-01-27;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=544571;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=181447;3517432950,47;2744609776,49;30000000,0
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;1301017 000006/2023;2022-11-17;2022-08-12;0;;Concluído;Anulado;Por lote;CONCESSÃO DOS SERVIÇOS DE OPERAÇÃO, CONSERVAÇÃO, MANUTENÇÃO, MONITORAÇÃO, IMPLANTAÇÃO DE MELHORIAS, AMPLIAÇÃO DE CAPACIDADE E MANUTENÇÃO DE NÍVEL DE SERVIÇO DO SISTEMA RODOVIÁRIO LOTE SUL DE MINAS.;;INEXISTENTE;;5897,0;2023-04-20;;;0,0;0,0;0,0
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;1301017 000014/2022;2022-06-08;2022-08-02;9363583;SIM;Concluído;Com Fornecedor Vencedor;Por preço global; PRESTACAO SERVICOS DE APOIO TECNICO AO GERENCIAMENTO E SUPERVISAO DE OBRAS, E SUPORTE ADMINISTRATIVO, TECNICO E JURIDICO EM PROCEDIMENTOS EXPROPRIATÓRIOS E DE REASSENTAMENTO DE FAMÍLIA DA UEL;;SERVECONSULTE SERVICOS DE ENGENHARIA E CONSULTORIA LTDA;23.201.395/0001-96;72,0;2022-06-08;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=553836;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=178224;7382490,82;6259348,0;6352050,81
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301520 000013/2022;2022-04-28;2022-06-09;9344782;SIM;Concluído;Com Fornecedor Vencedor;Por item;Melhoramento e pavimentação do trecho Pintópolis - Urucuia, extensão de 73,14 km, na rodovia MG-402. Trata-se de Regime Diferencia de contratação - RDC.;;CONSORCIO KPE/NE PAVIMENTACAO MG402;47.210.669/0001-71;181,0;2022-05-13;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=550741;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=176090;68945177,52;68619776,68;68619776,68
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301601 000007/2022;2022-06-22;2022-09-13;9375591;SIM;Concluído;Com Fornecedor Vencedor;Por item;APOIO À SUPERVISÃO AMBIENTAL E AOS PROCEDIMENTOS AMBIENTAIS NECESSÁRIOS À REGULARIZAÇÃO AMBIENTAL DAS OBRAS DE EDIFICAÇÕES E RODOVIÁRIAS DO DER MG;;CONSORCIO ENECON-MPB-CONTECNICA;49.456.001/0001-34;392,0;2022-07-21;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=554890;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=179834;16785937,49;14747701,54;3229705,92
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301762 000026/2022;2022-05-31;2022-07-28;9361882;SIM;Concluído;Com Fornecedor Vencedor;Por item;SERVIÇOS DE APOIO À DIRETORIA DE MANUTENÇÃO PARA SUPERVISÃO DE OBRAS DA DM;;NEOCONSTEC CONSULTORIA TECNICA LTDA.;28.542.082/0001-15;264,0;2022-06-20;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=553167;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=178126;10140041,7;7569814,68;8355977,01
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301901 000009/2021;2022-09-26;2022-02-01;9344722;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Prestação dos Serviços de Engenharia de Natureza Contínua com o Apoio ao Gerenciamento, à Operação e à Fiscalização Trânsito conforme demais especificações do edital._x000D_ ;;SITRAN SINALIZACAO DE TRANSITO INDUSTRIAL LTDA;16.502.551/0001-93;506,0;2021-12-27;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=543430;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=176010;0,0;0,0;101991029,34
2022;Bens e serviços - Lei nº 8.666/93 ou 10.520/02;Concorrência;Concorrência;2300;DEPARTAMENTO DE ESTRADAS DE RODAGEM;2301901 000009/2021;2022-09-26;2022-02-01;9344727;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Prestação dos Serviços de Engenharia de Natureza Contínua com o Apoio ao Gerenciamento, à Operação e à Fiscalização Trânsito conforme demais especificações do edital._x000D_ ;;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;01.466.431/0001-00;506,0;2021-12-27;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=543430;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=176035;0,0;0,0;84466273,1
